"BIBTEXKEY","TITLE","method_focus","sentence_length","full_sentence_with_ref","sentence","bib_reference"
"sankatsingCosteffectivenessDigitalBreast2020","Cost-effectiveness of digital breast tomosynthesis in population-based breast cancer screening: a probabilistic sensitivity analysis","Bayesian",139,"the bayesian cost-effectiveness analysis package and the sheffield accelerated value of information tool were used to process psa outcomes. [@sankatsingCosteffectivenessDigitalBreast2020]","the bayesian cost-effectiveness analysis package and the sheffield accelerated value of information tool were used to process psa outcomes.","[@sankatsingCosteffectivenessDigitalBreast2020]"
"sandersWANOptimizationBusiness2011","{WAN} optimization: a business process reengineering and knowledge value added approach","Optimization",94,"title: {wan} optimization: a business process reengineering and knowledge value added approach [@sandersWANOptimizationBusiness2011]","title: {wan} optimization: a business process reengineering and knowledge value added approach","[@sandersWANOptimizationBusiness2011]"
"saloInvitationPortfolioDecision2011","An invitation to portfolio decision analysis","General Methodology",88,"title: an invitation to portfolio decision analysis      annotation: publisher: springer [@saloInvitationPortfolioDecision2011]","title: an invitation to portfolio decision analysis      annotation: publisher: springer","[@saloInvitationPortfolioDecision2011]"
"salmanNovelBayesianMaximum2021","A novel bayesian maximum entropy-based approach for optimal design of water quality monitoring networks in rivers","Bayesian",175,"title: a novel bayesian maximum entropy-based approach for optimal design of water quality monitoring networks in rivers    keywords: bayesian  annotation: publisher: elsevier [@salmanNovelBayesianMaximum2021]","title: a novel bayesian maximum entropy-based approach for optimal design of water quality monitoring networks in rivers    keywords: bayesian  annotation: publisher: elsevier","[@salmanNovelBayesianMaximum2021]"
"sallamUtilityChatGPTExample2023","The utility of {ChatGPT} as an example of large language models in healthcare education, research and practice: systematic review on the future perspectives and potential limitations","General Methodology",253,"title: the utility of {chatgpt} as an example of large language models in healthcare education, research and practice: systematic review on the future perspectives and potential limitations      annotation: publisher: cold spring harbor laboratory press [@sallamUtilityChatGPTExample2023]","title: the utility of {chatgpt} as an example of large language models in healthcare education, research and practice: systematic review on the future perspectives and potential limitations      annotation: publisher: cold spring harbor laboratory press","[@sallamUtilityChatGPTExample2023]"
"salhaVariationsChangesSchool2011","The variations and the changes in the school librarians' perspectives of information literacy","General Methodology",255,"the researcher adopted a phenomenographic approach to discover how the syrian school librarians conceive the phenomenon of information literacy and how their conceptions changed after attending an information literacy programme designed by the researcher. [@salhaVariationsChangesSchool2011]","the researcher adopted a phenomenographic approach to discover how the syrian school librarians conceive the phenomenon of information literacy and how their conceptions changed after attending an information literacy programme designed by the researcher.","[@salhaVariationsChangesSchool2011]"
"salhaVariationsChangesSchool2011","The variations and the changes in the school librarians' perspectives of information literacy","General Methodology",186,"the research was in three phases: the first phase aimed to discover and study the school librariansâ�� conceptions of information literacy by conducting a pure phenomenographic approach. [@salhaVariationsChangesSchool2011]","the research was in three phases: the first phase aimed to discover and study the school librariansâ�� conceptions of information literacy by conducting a pure phenomenographic approach.","[@salhaVariationsChangesSchool2011]"
"salhaVariationsChangesSchool2011","The variations and the changes in the school librarians' perspectives of information literacy","General Methodology",99,"six different conceptions of information literacy were emerged as a result to first phase analysis. [@salhaVariationsChangesSchool2011]","six different conceptions of information literacy were emerged as a result to first phase analysis.","[@salhaVariationsChangesSchool2011]"
"salhaVariationsChangesSchool2011","The variations and the changes in the school librarians' perspectives of information literacy","General Methodology",167,"the training programme was designed by the researcher who consulted a broad literature and methods in attempts to integrate different ideas from different territories. [@salhaVariationsChangesSchool2011]","the training programme was designed by the researcher who consulted a broad literature and methods in attempts to integrate different ideas from different territories.","[@salhaVariationsChangesSchool2011]"
"salhaVariationsChangesSchool2011","The variations and the changes in the school librarians' perspectives of information literacy","General Methodology",375,"for example, she employed business methods such as eat the elephant strategy and swot analysis, training methods such as icebreaking and team working, soft system method such as rich picture and mind map, educational methods such as integrating different teaching styles to meet different learning needs style and communication method such as body language and presentations. [@salhaVariationsChangesSchool2011]","for example, she employed business methods such as eat the elephant strategy and swot analysis, training methods such as icebreaking and team working, soft system method such as rich picture and mind map, educational methods such as integrating different teaching styles to meet different learning needs style and communication method such as body language and presentations.","[@salhaVariationsChangesSchool2011]"
