date,bibref,method_category,sentence
1977,libbyHumanInformationProcessing1977,Probabilistic Methods,"It then reviews and evaluates the existing accounting literature based upon three research approaches: the lens model, probabilistic judgment, and cognitive style"
1977,priestCartelsPatentLicense1977,No specific method identified,Cartels and Patent License Arrangements 20 Journal of Law and Economics 309 (1978)
1977,sageApplicationSystemsMethodology1977,Decision Trees and Networks,The combined use of interpretive structural modeling and decision analysis within an appropriate methodological framework offers much promise for the economic and organizational management of large integrated industrial complexes
1977,steebCommunicationsManagementRemote1977,No specific method identified,Communications Management by the Remote System---an Adaptive Approach
1977,steebAdaptiveEstimationInformation1977,No specific method identified,Adaptive Estimation of Information Values in Continuous Decision Making and Control of Remotely Piloted Vehicles
1978,vonwinterfeldtDecisionTheoreticModel1978,No specific method identified,A Decision Theoretic Model for Standard Setting and Regulation
1978,bariffIntraorganizationalPowerConsiderations1978,No specific method identified,Intraorganizational Power Considerations for Designing Information Systems
1978,biermanInvestmentDecisionsSampling1978,Probabilistic Methods,Investment Decisions with Sampling
1978,ein-dorOrganizationalContextSuccess1978,No specific method identified,Organizational Context and the Success of Management Information Systems
1978,gageDiscriminatingUseInformation1978,No specific method identified,The Discriminating Use of Information Disclosure Rules by the Federal Trade Commission
1978,gilbertEffectsRiskPrices1978,No specific method identified,Effects of Risk on Prices and Quantities of Energy Supplies
1978,mintzbergPatternsStrategyFormation1978,No specific method identified,Patterns in Strategy Formation
1978,quartonWhatAreQuestions1978,No specific method identified,What Are the Questions Which Mental Health Data Systems Answer?
1978,solomonRestructuringCorporateBoard1978,No specific method identified,Restructuring the Corporate Board of Directors: Fond Hope: Faint Promise?
1978,willsSpecialIssueBusiness1978,No specific method identified,Special Issue: Business School Graffiti
1978,econFactorsAffectingSatellite1978,No specific method identified,Factors Affecting the Satellite Power System Volume i
1978,hoffmanANNUALHIGHLIGHTSNJTIONAL1978,No specific method identified,ANNUAL HIGHLIGHTS OF THE NJTIONAL .w' FOR ANALYSIS OF ENERGY SYSTEMS
1978,TransferWaterResources1978,No specific method identified,Transfer of Water Resources Knowledge
1978,turoffResearchOptionsImperatives1978,No specific method identified,Research Options and Imperatives in Computerized Conferencing
1978,vonwinterfeldtDecisionTheoreticModel1978,No specific method identified,A Decision Theoretic Model for Standard Setting and Regulation
1979,cundiffIssuesCanadianUS1979,No specific method identified,"Issues in Canadian/U.S. Transborder Computer Data Flows: Proceedings of a Conference Held in Montreal at the Four Seasons Hotel and Sponsored by the Institute for Research on Public Policy, September 6, 1978"
1979,dyerMeasurableMultiattributeValue1979,Utility and Value Theory,This development provides a link between the additive value function and multiattribute utility theory
1979,goldbergDiscussionSeminarParticipants1979,No specific method identified,Discussion by Seminar Participants
1979,hirshleiferAnalyticsUncertaintyInformationan1979,No specific method identified,The Analytics of Uncertainty and Information-an Expository Survey
1979,kotowitzAdvertisingConsumerInformation1979,Bayesian Methods,"Our model considers a rational, though not fully informed, consumer who holds prior perceptions about aspects of quality, which determine his purchase pattern"
1979,zmudIndividualDifferencesMIS1979,No specific method identified,Individual Differences and MIS Success: A Review of the Empirical Literature
1979,coatesSurveyResearchEnergyeconomy1979,No specific method identified,Survey of the Research into Energy-Economy Interactions. Volume 1. Survey
1979,kuipers6143527pdf1979,No specific method identified,6143527.Pdf
1979,manneEnergyTransitionStrategies1979,No specific method identified,Energy Transition Strategies: A Progress Report
1979,millerAnalyticCharacterizationNavy1979,Decision Trees and Networks,"PERFORMING ORGANIZATION NAME AND ADDRESS Applied Decision Analysis, Inc"
1979,millerProgressReportAnalytic1979,No specific method identified,Progress Report Analytic Procedures for Evaluating Decision Aids
1979,owenConceptInfluenceIts1979,No specific method identified,The Concept of Influence and Its Use in Structuring Complex Decision Problems:
1979,pateVALUESRISKSResearch1979,No specific method identified,VALUES AND RISKS a Research Proposal for IIASA
1979,seismologicalsocietyofamericaPublicPolicyIssues1979,No specific method identified,"Public Policy Issues: Earthquake Prediction by Marie-Elisabeth Patio,* and Haresh c. Shah"
1979,sipperMISSoftwareEffectiveness1979,No specific method identified,MIS Software Effectiveness
1980,airforcelogisticsmanagementcenterAirForceJournal1980,No specific method identified,Air Force Journal of Logistics
1980,caveComputersEconomicPlanning1980,No specific method identified,Computers and Economic Planning: The Soviet Experience
1980,wallaceEconomicRoleAudit1980,No specific method identified,The Economic Role of the Audit in Free and Regulated Markets
1980,connollyUserfocusedModelUtilization1980,No specific method identified,A User-Focused Model for the Utilization of Evaluation
1980,nairMakingDecisionsEnvironmental1980,Decision Trees and Networks,A methodology is presented based on decision analysis for making decisions on environmental problems as required in the environmental impact assessment context
1980,obrienSpecializedInformationInterdependence1980,No specific method identified,Specialized Information and Interdependence: Problems of Concentration and Access
1980,sageMethodologiesRiskHazard1980,Probabilistic Methods,"Agriculture,Environmental economics,Food preservation,Food technology,Hazards,Resource management,Risk analysis,Risk management,Systems engineering and theory,Taxonomy"
1980,saracevicProgressDocumentationPerception1980,No specific method identified,Progress in Documentation: Perception of the Needs for Scientific and Technical Information in Less Developed Countries
1980,winterfeldtStructuringDecisionProblems1980,Decision Trees and Networks,Structuring Decision Problems for Decision Analysis
1980,DraftReportAselection1980,No specific method identified,Draft Report Aselection Methodology for Lwr Safety'r\&d Programs and Proposals Uc-78
1980,gibbonsAppliedDECISIONANALYSIS1980,Decision Trees and Networks,Applied DECISION ANALYSIS
1980,johnsonenvironmentalandenergycenterFinalReportSps1980,No specific method identified,The Final Report of the Sps Space Transportation Workshop
1980,meadowsQualityWorkingLife1980,No specific method identified,Quality of Working Life: Progress Problems \& Prospects
1980,morganExpertJudgmentsPolicy1980,Delphi and Expert Judgment,Expert Judgments for Policy Analysis
1980,morrisPATTERNANALYSISRECOGNITION1980,No specific method identified,PATTERN ANALYSIS AND RECOGNITION Aggregating and Communicating Uncertainty
1980,russ-eftIssuesElementarySecondary1980,No specific method identified,Issues in Elementary and Secondary Education
1980,wallaceEconomicRoleAudit1980,No specific method identified,The Economic Role of the Audit in Free and Regulated Markets
1981,bentleyMakingInformationSystems1981,No specific method identified,Making Information Systems Work
1981,congressComputerbasedNationalInformation1981,No specific method identified,Computer-Based National Information Systems: Technology and Public Policy Issues
1981,saracevicGeneralInformationProgramme1981,No specific method identified,General Information Programme and UNISIST of The
1981,barryEconomicsOutsideInformation1981,No specific method identified,The Economics of Outside Information and Rule 10b-5
1981,feldmanInforamtionOrganizationsSignal1981,No specific method identified,Inforamtion in Organizations as Signal and Symbol
1981,hogarthForecastingPlanningEvaluation1981,Probabilistic Methods,"Operationally, greater use should be made of sensitivity analysis and the concept of the value of information"
1981,hogarthForecastingPlanningEvaluation1981,Utility and Value Theory,"At the organizational level this involves recognizing that F \& P may perform many, often conflicting, manifest and latent functions which should be identified and evaluated through a multi-attribute utility frame-work"
1981,hogarthForecastingPlanningEvaluation1981,Behavioral Decision Theory,"In particular, the ""illusion of control,"" accumulation of redundant information, failure to seek possible disconfirming evidence, and overconfidence in judgment are liable to induce serious errors in F \& P"
1981,millerMethodologyEvaluationResearch1981,Probabilistic Methods,"Project screening techniques, which include elimination by aspects, ranking, and stochastic dominance are applied througout the methodology to result in a heuristic and effective approach to evaluation, and associated resource allocation, in very large scale systems"
1981,millerMethodologyEvaluationResearch1981,Behavioral Decision Theory,"Project screening techniques, which include elimination by aspects, ranking, and stochastic dominance are applied througout the methodology to result in a heuristic and effective approach to evaluation, and associated resource allocation, in very large scale systems"
